"page number","rank","domain","url","title"
"14","134","www.dicoding.com","https://www.dicoding.com/blog/macam-macam-linux/","10 Macam-macam Linux yang Bisa Kamu Coba - Dicoding Blog"
"14","135","www.engineersgarage.com","https://www.engineersgarage.com/introduction-to-linux-operating-system-part-1-15/","Introduction To Linux Operating System (Part 1/15)"
"14","136","ilkom.unublitar.ac.id","https://ilkom.unublitar.ac.id/id/2018/06/operating-system-linux/","OPERATING SYSTEM LINUX – Ilmu Komputer - ILKOM UNU Blitar"
"14","137","www.computerreach.org","https://www.computerreach.org/linux-operating-system/","Understanding Linux: A Free Computer Operating System"
"14","138","www.linkedin.com","https://www.linkedin.com/pulse/understanding-operating-systems-through-linux-rick-ramirez","Understanding operating systems through Linux. - LinkedIn"
"14","139","www.hostinger.com","https://www.hostinger.com/tutorials/linux-commands","40 Basic Linux Commands Every User Should Know - Hostinger"
"15","140","linuxiac.com","https://linuxiac.com/what-is-linux-operating-system/","What Is Linux? A Guide for Non-technical Users - Linuxiac"
"15","141","nielharper.com","https://nielharper.com/2020/12/07/why-linux-is-the-most-popular-operating-system/","Why Linux is the Most Popular Operating System - Niel Harper"
"15","142","www.theregister.com","https://www.theregister.com/2022/11/29/redox_os_version_08/","Redox OS version 0.8 is both strange and very familiar - TheRegister"
"15","143","almalinux.org","https://almalinux.org/","AlmaLinux OS - Forever-Free Enterprise-Grade Operating System"
"15","144","www.linuxfromscratch.org","https://www.linuxfromscratch.org/","Welcome to Linux From Scratch!"
"15","145","github.com","https://github.com/torvalds/linux","torvalds/linux: Linux kernel source tree - GitHub"
"15","146","pop.system76.com","https://pop.system76.com/","Pop!_OS by System76"
"15","147","kubuntu.org","https://kubuntu.org/","Kubuntu | Friendly Computing"
"15","148","www.omgubuntu.co.uk","https://www.omgubuntu.co.uk/2022/11/linux-lite-6-2-released","Linux Lite 6.2 Released, Based on Ubuntu 22.04.1 LTS"
"15","149","crln.acrl.org","https://crln.acrl.org/index.php/crlnews/article/view/25156/33017","Using the Linux operating system full-time"
"16","150","linuxiac.com","https://linuxiac.com/what-is-linux-operating-system/","What Is Linux? A Guide for Non-technical Users - Linuxiac"
"16","151","blog.ub.ac.id","https://blog.ub.ac.id/ayumel/2015/02/27/linux-operating-system/","Linux Operating System | Technolo-Geeks - Universitas Brawijaya"
"16","152","enlear.academy","https://enlear.academy/new-to-linux-and-looking-forward-to-coming-so-first-let-us-know-what-is-linux-9c4ecad4065f","A Brief Introduction to Linux for Beginners - Enlear Academy"
"16","153","www.explainthatstuff.com","https://www.explainthatstuff.com/linux.html","What is Linux? A simple introduction - Explain that Stuff"
"16","154","crln.acrl.org","https://crln.acrl.org/index.php/crlnews/article/view/25156/33017","Using the Linux operating system full-time"
"16","155","www.linuxfoundation.org","https://www.linuxfoundation.org/blog/blog/the-linux-foundation-its-not-just-the-linux-operating-system","The Linux Foundation: It's not just the Linux operating system"
"16","156","www.linuxandubuntu.com","https://www.linuxandubuntu.com/home/future-of-linux-operating-systems-on-desktop-computers","Future Of Linux Operating Systems On Desktop Computers Ad"
"16","157","www.freethink.com","https://www.freethink.com/technology/russia-linux","Russia tries to impose switch to Linux from Windows - Freethink"
"16","158","www.digitalocean.com","https://www.digitalocean.com/community/tutorials/an-introduction-to-linux-basics","An Introduction to Linux Basics | DigitalOcean"
"16","159","lifehacker.com","https://lifehacker.com/how-to-get-started-with-the-linux-operating-system-1819644874","How to Get Started with the Linux Operating System - Lifehacker"
"17","160","www.linuxtrainingacademy.com","https://www.linuxtrainingacademy.com/what-is-linux/","Linux is an Operating System - Linux Training Academy"
"17","161","www.educative.io","https://www.educative.io/answers/what-are-the-advantages-of-linux","What are the advantages of Linux? - Educative.io"
"17","162","onlinelibrary.wiley.com","https://onlinelibrary.wiley.com/doi/abs/10.1002/047148296X.tie108","Linux Operating System - Abzug - 2004 - Wiley Online Library"
"17","163","redcanary.com","https://redcanary.com/blog/linux-101/","Linux 101: Demystifying the world's most customizable operating ..."
"17","164","liliputing.com","https://liliputing.com/orange-pi-os-android-and-linux-based-operating-systems-for-orange-pi-single-board-pcs/","Orange Pi OS: Android and Linux-based operating systems for ..."
"17","165","study.com","https://study.com/academy/lesson/linux-operating-system-distributions-uses.html","Linux Operating System: Distributions & Uses - Study.com"
"17","166","anydesk.com","https://anydesk.com/en/downloads/linux","Remote Desktop Software for Linux - AnyDesk"
"17","167","www.merdeka.com","https://www.merdeka.com/jateng/macam-macam-linux-pada-komputer-ketahui-cara-kerjanya-kln.html","Macam-macam Linux pada Komputer, Ketahui Cara Kerjanya"
"17","168","www.adminschoice.com","https://www.adminschoice.com/download-linux-top-10-free-linux-distributions-for-desktop-and-servers","Download Linux : Top 10 Free Linux Distributions - Admin's Choice"
"17","169","www.plesk.com","https://www.plesk.com/blog/various/what-is-linux/","What is Linux? An in-depth introduction - Plesk"
"18","170","lubuntu.me","https://lubuntu.me/","Lubuntu – The official Lubuntu home"
"18","171","www.winehq.org","https://www.winehq.org/","WineHQ - Run Windows applications on Linux, BSD, Solaris and ..."
"18","172","kumparan.com","https://kumparan.com/how-to-tekno/operating-system-definisi-fungsi-dan-jenisnya-1vx7JnWiDbf","Operating System: Definisi, Fungsi, dan Jenisnya | kumparan.com"
"18","173","www.parrotsec.org","https://www.parrotsec.org/","Parrot Security"
"18","174","arxiv.org","https://arxiv.org/abs/1204.0197","Windows And Linux Operating Systems From A Security Perspective"
"18","175","www.techrepublic.com","https://www.techrepublic.com/article/getting-up-to-speed-with-the-linux-desktop-operating-system/","Linux desktop operating system: A beginner's guide - TechRepublic"
"18","176","www.networkworld.com","https://www.networkworld.com/article/3215226/what-is-linux-uses-featres-products-operating-systems.html","What is Linux? The open-source operating system that's changing ..."
"18","177","rainx1929.com","https://rainx1929.com/2021/11/20/pengenalan-sistem-os-linux/","Pengenalan Sistem Operasi (OS) Linux, Apa itu Linux? - RAINX1929"
